"CHSI_State_Name","CHSI_State_Abbr","CHSI_County_Name","Injury","Cancer","Population","Homicide","Suicide","HIV","Heart Disease","Max_Type","Max_Value","id"
"Hawaii","HI","Kauai",0,2.79794198968486,62640,0,1.28266045915697,0,2.58566790607281,"Cancer",2.79794198968486,"15007"
"Hawaii","HI","Maui",0,0.834969591406072,139884,0,0,0,0,"Cancer",0.834969591406072,"15009"
"Idaho","ID","Ada",0,0,344727,0,0,0,0,"None",0,"16001"
"Idaho","ID","Adams",0,3.27732912195811,3591,0,0,0,3.4247309014242,"Heart Disease",3.4247309014242,"16003"
"Idaho","ID","Bannock",1.48092424231731,1.07010815156899,78155,1.15821519584413,0.995948130176236,0,1.67084197653663,"Heart Disease",1.67084197653663,"16005"
"Idaho","ID","Bear Lake",1.83723534230718,2.98640759494017,6176,0,4.02844509079062,0,3.089448995103,"Suicide",4.02844509079062,"16007"
"Idaho","ID","Benewah",2.23788367269062,3.00884745967724,9218,0,2.32137961947682,0,3.08232650427554,"Heart Disease",3.08232650427554,"16009"
"Idaho","ID","Bingham",2.53173504880199,1.52157199532412,43739,0,2.54960662165914,0,1.89026854166126,"Suicide",2.54960662165914,"16011"
"Idaho","ID","Blaine",3.26261349634267,1.87948751066685,21166,0,2.00379604480928,0,1.67556153504014,"Suicide",2.00379604480928,"16013"
"Idaho","ID","Boise",2.65068467643507,3.12446455022835,7535,0,0,0,2.92668344103818,"Cancer",3.12446455022835,"16015"
"Idaho","ID","Bonner",2.31187225096246,1.5660446642016,40908,0,1.35893281031834,0,0.00287579179409582,"Cancer",1.5660446642016,"16017"
"Idaho","ID","Bonneville",2.16286266731646,0,91856,0.0914870527610249,0.728843318976486,0,0,"Suicide",0.728843318976486,"16019"
"Idaho","ID","Boundary",2.40517567240792,2.91294694252867,10619,0,2.80939068966633,0,2.60661645294527,"Cancer",2.91294694252867,"16021"
"Idaho","ID","Butte",0,3.26200900833748,2808,0,0,0,3.25168974619867,"Cancer",3.26200900833748,"16023"
"Idaho","ID","Camas",0,2.16716579798199,1050,0,0,0,2.99763867383759,"Heart Disease",2.99763867383759,"16025"
"Idaho","ID","Canyon",0.336743792600238,0,164593,1.66031003587738,0,0,0,"Homicide",1.66031003587738,"16027"
"Idaho","ID","Caribou",2.08243002606911,2.96652877575684,7131,0,3.42533652183473,0,2.75136812254146,"Suicide",3.42533652183473,"16029"
"Idaho","ID","Cassia",3.42792073224538,2.6698469551183,21324,0,2.09293845663062,0,2.60862978809329,"Cancer",2.6698469551183,"16031"
"Idaho","ID","Clark",0,2.70845352525069,943,0,0,0,3.41305109864189,"Heart Disease",3.41305109864189,"16033"
"Idaho","ID","Clearwater",2.1469091392172,2.94672030047215,8373,0,2.87699583859702,0,2.66427162279267,"Cancer",2.94672030047215,"16035"
"Idaho","ID","Custer",0,2.99909947928678,4077,0,0,0,3.31809199586634,"Heart Disease",3.31809199586634,"16037"
"Idaho","ID","Elmore",2.73269788692908,1.76198294705124,28634,0,2.06057032266173,0,1.49392225995769,"Suicide",2.06057032266173,"16039"
"Idaho","ID","Franklin",1.48983593683969,2.59399440960681,12371,0,0,0,2.67839421438496,"Heart Disease",2.67839421438496,"16041"
"Idaho","ID","Fremont",3.11937801654662,2.71253262043097,12242,0,2.59507991265269,0,2.47395060275761,"Cancer",2.71253262043097,"16043"
"Idaho","ID","Gem",1.53789807279759,2.64090542770672,16273,0,2.35031394126335,0,2.20084616916949,"Cancer",2.64090542770672,"16045"
"Idaho","ID","Gooding",3.29708056741389,2.56381886536817,14461,0,0,0,2.30932349710773,"Cancer",2.56381886536817,"16047"
"Idaho","ID","Idaho",3.24520800873953,2.18385114043088,15697,0,2.37236753904394,0,2.2348513502229,"Suicide",2.37236753904394,"16049"
"Idaho","ID","Jefferson",2.82833814337313,2.23569929807619,21580,2.00626651655188,2.08493908436222,0,2.04589415191194,"Cancer",2.23569929807619,"16051"
"Idaho","ID","Jerome",3.48741155676348,2.31011569104114,19638,1.85407407827361,2.23243223923458,0,2.12042914571773,"Cancer",2.31011569104114,"16053"
"Idaho","ID","Kootenai",0,0,127668,0,0.835941613869277,0,0,"Suicide",0.835941613869277,"16055"
"Idaho","ID","Latah",2.11758794293981,1.59784942633705,34714,0,1.51231767758878,0,0.401263476328751,"Cancer",1.59784942633705,"16057"
"Idaho","ID","Lemhi",2.35497266278313,2.91608162406024,7909,0,2.97148130525735,0,2.72719956689069,"Suicide",2.97148130525735,"16059"
