time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-26T00:41:44.610Z,12.8508,143.6584,103.08,4.7,mb,,53,1.388,0.74,us,us200029a9,2015-04-26T07:28:11.491Z,"118km WSW of Merizo Village, Guam",earthquake
2015-04-26T00:23:52.380Z,-19.792,-177.7977,484.48,5,mb,,28,4.427,0.98,us,us200029a4,2015-04-26T08:27:57.718Z,"133km NE of Ndoi Island, Fiji",earthquake
2015-04-25T23:41:52.730Z,27.5598,85.9359,10,4.5,mb,,86,5.66,0.72,us,us2000299x,2015-04-26T07:49:45.703Z,"29km NNW of Ramechhap, Nepal",earthquake
2015-04-25T23:16:15.070Z,27.8052,84.8744,10,5.6,mb,,35,6.63,0.73,us,us2000299v,2015-05-01T20:52:10.040Z,"41km WNW of Kirtipur, Nepal",earthquake
2015-04-25T21:07:17.930Z,27.732,85.7266,10,4.7,mb,,89,5.893,0.54,us,us20002993,2015-04-26T17:48:53.501Z,"20km E of Nagarkot, Nepal",earthquake
2015-04-25T20:37:46.850Z,8.2241,-83.3816,12.03,4.7,mwr,,136,0.491,1.21,us,us2000298z,2015-04-25T23:35:16.225Z,"51km SSW of Golfito, Costa Rica",earthquake
2015-04-25T20:01:36.470Z,23.9631,122.4993,23.46,5.1,mwr,,55,0.685,1.09,us,us2000298l,2015-04-29T00:37:02.769Z,"75km SW of Yonakuni, Japan",earthquake
2015-04-25T17:42:50.930Z,28.2621,85.7739,10,5.4,mb,,37,4.904,0.88,us,us2000297g,2015-05-01T21:15:27.040Z,"22km WNW of Chongdui, China",earthquake
2015-04-25T17:09:19.810Z,-4.3175,143.2778,123.87,5.1,mb,,18,4.665,0.9,us,us20002975,2015-04-28T15:08:25.781Z,"48km E of Ambunti, Papua New Guinea",earthquake
2015-04-25T16:41:15.680Z,3.1167,128.1432,125.18,5.3,mb,,37,2.455,0.95,us,us20002973,2015-04-26T00:43:56.211Z,"154km N of Tobelo, Indonesia",earthquake
2015-04-25T16:27:21.780Z,27.9087,85.6175,10,4.9,mb,,79,6.045,0.95,us,us20002970,2015-04-26T11:43:22.702Z,"23km NNE of Nagarkot, Nepal",earthquake
2015-04-25T14:10:02.830Z,27.5843,85.6622,10,4.6,mb,,86,5.898,0.87,us,us20002965,2015-04-25T21:31:26.595Z,"14km E of Panaoti, Nepal",earthquake
2015-04-25T13:36:14.640Z,27.7476,85.89,10,4.6,mb,,185,5.762,0.8,us,us2000295x,2015-04-25T21:38:56.326Z,"23km SSW of Kodari, Nepal",earthquake
2015-04-25T13:30:28.240Z,28.1078,85.0726,10,4.6,mb,,135,6.566,1.23,us,us2000295v,2015-04-25T14:15:26.303Z,"51km NNW of Kathmandu, Nepal",earthquake
2015-04-25T12:44:04.400Z,28.1513,84.6587,10,5.2,mb,,37,6.924,1.13,us,us2000295i,2015-04-26T12:40:03.256Z,"29km ESE of Lamjung, Nepal",earthquake
2015-04-25T12:17:55.920Z,28.0049,85.5638,10,4.5,mb,,98,5.164,0.74,us,us2000295f,2015-04-25T13:20:35.860Z,"32km N of Nagarkot, Nepal",earthquake
2015-04-25T10:40:35.880Z,27.5667,85.8384,10,4.8,mb,,166,5.112,0.62,us,us2000294x,2015-04-25T11:18:26.622Z,"32km E of Panaoti, Nepal",earthquake
2015-04-25T09:30:29.590Z,27.9938,85.437,10,5,mb,,79,6.225,0.91,us,us2000294i,2015-04-26T09:54:31.465Z,"31km NNW of Nagarkot, Nepal",earthquake
2015-04-25T09:17:02.710Z,28.4282,87.3382,10,5.7,mb,,36,4.936,0.81,us,us2000294g,2015-04-26T09:53:32.472Z,"33km SE of Xegar, China",earthquake
2015-04-25T09:03:15.420Z,27.8741,85.3069,10,4.9,mb,,82,6.291,0.65,us,us2000294e,2015-04-25T17:06:53.495Z,"19km N of Kathmandu, Nepal",earthquake
2015-04-25T08:55:55.730Z,27.6364,85.5029,10,5.3,mb,,42,6.049,0.81,us,us2000294d,2015-04-25T09:42:00.034Z,"1km WNW of Banepa, Nepal",earthquake
2015-04-25T08:29:24.360Z,27.9903,84.7097,10,5,mb,,90,6.827,0.62,us,us20002946,2015-04-25T10:44:04.814Z,"41km SE of Lamjung, Nepal",earthquake
2015-04-25T08:20:11.980Z,27.9528,85.7219,10,4.7,mb,,55,5.976,0.91,us,us20002944,2015-04-25T16:25:18.399Z,"22km W of Kodari, Nepal",earthquake
2015-04-25T08:16:59.090Z,27.6733,85.6878,10,4.9,mb,,89,5.905,0.52,us,us20002942,2015-04-25T16:19:39.879Z,"17km ENE of Banepa, Nepal",earthquake
2015-04-25T08:05:37.730Z,27.7307,85.7304,10,4.6,mb,,105,5.13,0.61,us,us2000293v,2015-04-25T08:57:17.865Z,"20km E of Nagarkot, Nepal",earthquake
2015-04-25T07:47:01.690Z,27.8549,85.5572,10,5,mb,,79,6.076,0.81,us,us2000293p,2015-04-25T08:52:38.183Z,"15km NNE of Nagarkot, Nepal",earthquake
2015-04-25T07:39:33.910Z,27.6659,85.7483,10,4.5,mb,,99,5.142,0.68,us,us2000293l,2015-04-25T15:42:21.269Z,"22km E of Banepa, Nepal",earthquake
2015-04-25T07:16:56.830Z,28.002,85.2694,10,4.8,mb,,127,5.41,0.98,us,us2000293d,2015-04-25T15:20:10.173Z,"33km N of Kathmandu, Nepal",earthquake
2015-04-25T07:13:44.320Z,27.5458,85.5502,10,4.8,mb,,105,5.352,0.68,us,us2000293i,2015-04-25T07:55:23.304Z,"5km SE of Panaoti, Nepal",earthquake
2015-04-25T07:07:59.620Z,27.7278,85.9185,10,5,mb,,86,12.38,0.78,us,us20002939,2015-04-25T08:11:43.314Z,"25km S of Kodari, Nepal",earthquake
2015-04-25T06:56:34.450Z,27.91,85.6501,10,5.5,mb,,55,5.127,1.03,us,us20002934,2015-04-26T17:09:07.526Z,"25km NNE of Nagarkot, Nepal",earthquake
2015-04-25T06:45:21.380Z,28.1927,84.8645,14.62,6.6,mb,,16,5.69,1.17,us,us2000292y,2015-04-29T12:50:22.749Z,"49km E of Lamjung, Nepal",earthquake
2015-04-25T06:37:58.720Z,27.7239,85.8182,9.85,5.1,mb,,76,5.062,0.67,us,us2000292w,2015-04-25T16:37:33.121Z,"28km SSW of Kodari, Nepal",earthquake
2015-04-25T06:35:45.470Z,32.8475,140.4477,77.16,5.3,mb,,62,0.596,1.21,us,us2000292n,2015-04-25T14:38:34.913Z,"65km ESE of Hachijo-jima, Japan",earthquake
2015-04-25T06:21:53.000Z,60.0488,-153.5419,180,4.6,ml,,,,0.88,ak,ak11563833,2015-04-25T07:21:22.818Z,"65km SW of Redoubt Volcano, Alaska",earthquake
2015-04-25T06:11:26.270Z,28.1473,84.7079,15,7.8,mww,,35,5.835,1.19,us,us20002926,2015-05-01T18:32:12.292Z,"34km ESE of Lamjung, Nepal",earthquake
2015-04-25T00:49:07.440Z,-7.6835,127.5406,166.67,4.7,mb,,50,3.735,1.26,us,us20002911,2015-04-25T08:53:10.314Z,"237km ENE of Dili, East Timor",earthquake
2015-04-25T00:37:41.640Z,13.8316,144.7988,139.73,5.1,mb,,60,0.25,0.76,us,us20002910,2015-04-25T09:45:14.039Z,"34km NNW of Yigo Village, Guam",earthquake
